City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Berbera,SO,88.59,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
570,Wewak,PG,85.6,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
574,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
577,Xiaoweizhai,CN,87.67,light rain,26.1903,107.5125,Karst Youth Hostel
580,Qingdao,CN,82.24,scattered clouds,36.0986,120.3719,东晖国际大酒店餐厅
586,Glendive,US,77.49,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
587,Anloga,GH,75.56,scattered clouds,5.7947,0.8973,Pin Drop Hotel
590,Shimoda,JP,87.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
593,Vaitape,PF,77.88,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
595,Waingapu,ID,84.7,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
597,Boralday,KZ,82.26,scattered clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
600,Amahai,ID,83.1,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
603,Tiarei,PF,78.01,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
604,Bandarbeyla,SO,82.26,few clouds,9.4942,50.8122,JABIR HOTEL
607,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
609,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
611,Crotone,IT,83.43,few clouds,39.0851,17.1178,Helios Hotel
612,Lander,US,75.16,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
618,Ugoofaaru,MV,83.1,overcast clouds,5.6667,73.0,Ungoofaaru Inn
619,Chakia,IN,85.87,overcast clouds,26.4167,85.05,Chandrika chauk lane
620,Bengkulu,ID,79.18,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
621,Pali,IN,79.56,overcast clouds,25.7667,73.3333,Seervi Hostel
622,Manbij,SY,83.17,clear sky,36.5281,37.9549,Manbej City Hotel
623,Tekkali,IN,84.61,overcast clouds,18.6167,84.2333,Trinath Gantayat
625,Palembang,ID,86.09,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
628,Fare,PF,77.27,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
629,Goalpara,IN,86.47,broken clouds,26.1667,90.6167,SPOT ON 66402 Hotel Moon Moon
641,Kapit,MY,84.49,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
653,Innisfail,AU,76.41,clear sky,-17.5333,146.0333,Moondarra Motel
655,Pemangkat,ID,86.47,broken clouds,1.1667,108.9667,Ramah Kost KITA
657,Nichinan,JP,89.76,overcast clouds,31.6,131.3667,Guest House Aki
666,Kirakira,SB,79.47,overcast clouds,-10.4544,161.9205,SanBiz Lodge
672,Kropotkin,RU,78.13,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
676,Batticaloa,LK,85.6,overcast clouds,7.7102,81.6924,Grand Star Guest House
679,Bang Saphan,TH,86.95,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
681,Aksu,CN,86.47,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
682,Lufilufi,WS,77.79,very heavy rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
683,Pulandian,CN,82.53,clear sky,39.3953,121.9669,HR East Hotel
685,Mana,GF,76.24,broken clouds,5.6592,-53.7767,LE SAMANA
687,Chemal,RU,76.39,scattered clouds,51.4111,86.005,Guesthouse V Sosnovom Boru
689,Singkawang,ID,87.96,broken clouds,0.9,109.0,Capital O 1822 Wahana Inn
