City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Muros,ES,42.7762,-9.0603,65.84,92,68,8.01,broken clouds
314,Gijon,ES,43.5357,-5.6615,61.25,88,21,1.99,few clouds
315,Grand Gaube,MU,-20.0064,57.6608,68.38,81,6,1.99,clear sky
316,Miles City,US,46.4083,-105.8406,83.37,20,1,9.22,clear sky
317,Ampanihy,MG,-24.7,44.75,61.57,53,0,6.46,clear sky
318,Magadan,RU,59.5667,150.8,58.44,46,7,17.4,clear sky
319,Kayunga,UG,0.7025,32.8886,64.85,77,98,2.01,overcast clouds
320,Thompson,CA,55.7435,-97.8558,71.76,60,90,9.22,smoke
321,Linxi,CN,39.7,118.4333,81.05,63,1,9.62,clear sky
322,Shu,KZ,43.5983,73.7614,90.54,13,96,14.61,overcast clouds
323,Praia,CV,14.9215,-23.5087,75.11,78,38,3.24,scattered clouds
324,Flinders,AU,-34.5833,150.8552,67.17,64,5,4.0,clear sky
325,Sur,OM,22.5667,59.5289,92.12,53,91,6.6,overcast clouds
326,Tasiilaq,GL,65.6145,-37.6368,44.76,77,100,3.62,overcast clouds
327,Smithers,CA,54.7804,-127.1743,75.56,64,5,1.3,clear sky
328,Moroni,KM,-11.7022,43.2551,74.26,74,5,14.07,clear sky
329,Inverell,AU,-29.7833,151.1167,70.16,43,85,1.01,overcast clouds
330,Airai,TL,-8.9266,125.4092,77.59,41,17,4.16,few clouds
331,Kamaishi,JP,39.2667,141.8833,83.25,75,25,12.41,scattered clouds
332,Klaksvik,FO,62.2266,-6.589,47.32,79,98,4.52,overcast clouds
333,Peto,MX,20.1333,-88.9167,75.92,89,54,3.13,broken clouds
334,Honiara,SB,-9.4333,159.95,80.73,79,77,1.21,broken clouds
335,Rio Tuba,PH,8.5061,117.4317,84.36,76,71,17.05,broken clouds
336,Harper,LR,4.375,-7.7169,76.24,77,100,6.44,overcast clouds
337,Nangomba,TZ,-10.9,38.5,63.68,81,5,2.89,clear sky
338,Nassau,US,40.7507,-73.5829,69.75,80,90,1.99,overcast clouds
339,Port Hardy,CA,50.6996,-127.4199,59.34,88,3,11.14,clear sky
340,Hofn,IS,64.2539,-15.2082,53.42,92,100,3.29,overcast clouds
341,Tatawin,TN,32.9297,10.4518,77.67,84,1,7.27,clear sky
342,Belogorsk,RU,50.9158,128.4611,67.28,71,99,5.61,light rain
343,Les Cayes,HT,18.2,-73.75,78.62,82,39,3.65,scattered clouds
344,Palmer,US,42.1584,-72.3287,66.02,84,90,0.0,overcast clouds
345,Tokmak,UA,47.2514,35.7058,76.08,58,0,3.13,clear sky
346,Brae,GB,60.3964,-1.353,48.11,79,100,11.65,overcast clouds
